127.0.0.1 - - [29/Sep/2018:17:40:16 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:40:29 -0400] "GET /MyProject/init HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:40:34 -0400] "GET /MyProject/Controller?userName=as&passwordText=asdad&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:40:34 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:40:56 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:41:43 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:20 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:20 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:23 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:23 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:26 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:26 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:43:27 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:22 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:22 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:23 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:23 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:23 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:25 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:25 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:25 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:25 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
